Timestamp,Test Case,Step,Status,Message
2025-10-22 14:23:08,Booking Creation,Upload Last Name,PASS,
2025-10-22 14:23:08,Booking Creation,Upload Contact Number,PASS,
2025-10-22 14:23:09,Booking Creation,Upload Email Address,PASS,
2025-10-22 14:23:19,Booking Creation,Select vehicle,FAIL,"Traceback (most recent call last):
  File ""d:\OWAIS\python\automation\BMP\booking_customer_code.py"", line 135, in test_login_valid
    wait.until(EC.element_to_be_clickable((By.XPATH, constent.SELECT_VEHICLE))).click()
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\support\wait.py"", line 138, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

"
2025-10-22 15:08:19,Booking Creation,Open Website,PASS,
2025-10-22 15:08:21,Booking Creation,Login,PASS,
2025-10-22 15:08:26,Booking Creation,Navigate to Booking,PASS,
2025-10-22 15:08:26,Booking Creation,Upload Profile Image,PASS,
2025-10-22 15:08:26,Booking Creation,Upload Register Document,PASS,
2025-10-22 15:08:27,Booking Creation,Upload First Name,PASS,
2025-10-22 15:08:27,Booking Creation,Upload Last Name,PASS,
2025-10-22 15:08:27,Booking Creation,Upload Contact Number,PASS,
2025-10-22 15:08:28,Booking Creation,Upload Email Address,PASS,
